iter	Passed	Remaining
0	2	207
1	4	212
2	6	212
3	8	203
4	10	205
5	12	200
6	14	197
7	16	192
8	18	188
9	20	181
10	21	176
11	24	176
12	25	172
13	27	169
14	29	164
15	30	159
16	31	153
17	32	148
18	33	143
19	34	138
20	35	133
21	36	129
22	37	125
23	38	122
24	39	119
25	40	115
26	41	112
27	42	110
28	44	108
29	45	106
30	46	103
31	47	101
32	49	99
33	50	97
34	51	95
35	52	93
36	53	90
37	53	88
38	54	85
39	55	82
40	55	80
41	56	77
42	56	75
43	57	73
44	58	71
45	59	69
46	59	67
47	60	65
48	61	63
49	61	61
50	62	60
51	63	58
52	63	56
53	64	55
54	65	53
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	25
76	83	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	96	11
89	97	10
90	98	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	109	0
