iter	Passed	Remaining
0	136	135928
1	138	69002
2	140	46613
3	142	35587
4	146	29191
5	149	24825
6	153	21732
7	156	19432
8	160	17656
9	163	16157
10	165	14919
11	168	13891
12	171	13030
13	174	12314
14	177	11671
15	180	11096
16	183	10582
17	185	10137
18	188	9739
19	191	9376
20	194	9048
21	196	8750
22	199	8478
23	202	8230
24	205	8005
25	208	7796
26	210	7597
27	213	7413
28	216	7249
29	219	7083
30	221	6929
31	224	6787
32	227	6660
33	230	6542
34	233	6431
35	236	6332
36	239	6230
37	242	6134
38	245	6043
39	248	5953
40	250	5867
41	253	5783
42	256	5699
43	258	5620
44	261	5548
45	264	5478
46	267	5414
47	269	5351
48	272	5288
49	275	5228
50	278	5174
51	280	5115
52	283	5061
53	285	5008
54	288	4956
55	291	4910
56	294	4868
57	296	4822
58	299	4777
59	302	4736
60	305	4695
61	307	4657
62	310	4614
63	312	4577
64	315	4540
65	318	4501
66	320	4464
67	323	4432
68	326	4401
69	328	4368
70	331	4337
71	334	4305
72	336	4274
73	339	4248
74	342	4220
75	344	4190
76	347	4160
77	349	4130
78	352	4104
79	354	4079
80	357	4051
81	359	4027
82	361	3990
83	363	3966
84	366	3947
85	369	3931
86	372	3909
87	375	3888
88	378	3869
89	380	3847
90	383	3826
91	385	3807
92	388	3788
93	391	3769
94	393	3751
95	396	3731
96	398	3713
97	401	3693
98	403	3676
99	406	3658
100	409	3641
101	411	3624
102	414	3610
103	417	3596
104	420	3584
105	423	3574
106	426	3558
107	429	3543
108	431	3530
109	434	3515
110	437	3501
111	440	3488
112	443	3479
113	445	3465
114	448	3451
115	451	3438
116	453	3423
117	456	3410
118	458	3392
119	460	3380
120	463	3367
121	465	3352
122	468	3338
123	470	3325
124	473	3315
125	476	3308
126	478	3292
127	481	3279
128	484	3268
129	486	3257
130	489	3246
131	491	3234
132	494	3223
133	497	3212
134	499	3202
135	502	3191
136	504	3179
137	507	3170
138	510	3160
139	512	3150
140	515	3139
141	517	3124
142	519	3114
143	522	3104
144	524	3094
145	527	3084
146	529	3075
147	532	3066
148	535	3056
149	537	3047
150	540	3040
151	543	3031
152	545	3021
153	548	3012
154	551	3004
155	553	2996
156	556	2988
157	558	2978
158	561	2970
159	564	2961
160	565	2949
161	568	2942
162	571	2934
163	574	2926
164	576	2919
165	579	2909
166	581	2901
167	584	2894
168	587	2886
169	589	2878
170	592	2870
171	594	2863
172	597	2856
173	600	2849
174	602	2842
175	605	2835
176	608	2828
177	610	2820
178	613	2814
179	616	2807
180	618	2800
181	621	2792
182	624	2786
183	626	2779
184	629	2772
185	632	2766
186	634	2759
187	637	2752
188	640	2746
189	642	2741
190	645	2734
191	648	2728
192	651	2722
193	653	2716
194	656	2710
195	659	2704
196	661	2697
197	664	2691
198	667	2685
199	669	2678
200	672	2671
201	674	2663
202	676	2657
203	679	2650
204	681	2643
205	684	2637
206	686	2631
207	689	2626
208	692	2620
209	695	2615
210	698	2610
211	700	2604
212	703	2598
213	706	2594
214	709	2589
215	711	2583
216	714	2577
217	717	2572
218	719	2566
219	722	2561
220	725	2555
221	727	2550
222	730	2544
223	733	2540
224	735	2534
225	738	2529
226	741	2524
227	743	2518
228	746	2513
229	749	2508
230	751	2502
231	754	2497
232	757	2491
233	759	2487
234	762	2482
235	765	2478
236	768	2473
237	772	2472
238	774	2467
239	777	2460
240	780	2457
241	782	2452
242	785	2447
243	788	2443
244	791	2439
245	794	2434
246	797	2431
247	800	2426
248	803	2422
249	806	2418
250	808	2413
251	811	2409
252	814	2404
253	817	2401
254	820	2396
255	822	2391
256	825	2387
257	828	2383
258	831	2379
259	835	2377
260	837	2372
261	841	2369
262	843	2364
263	846	2359
264	848	2354
265	851	2349
266	854	2344
267	856	2339
268	859	2334
269	861	2329
270	864	2325
271	867	2321
272	870	2317
273	873	2313
274	875	2309
275	878	2305
276	881	2301
277	884	2297
278	887	2293
279	890	2289
280	893	2285
281	896	2281
282	898	2276
283	901	2271
284	903	2267
285	906	2264
286	909	2260
287	912	2256
288	915	2252
289	918	2247
290	920	2243
